Year,Centroid_Lat,Centroid_Lon,Median_Elevation
2009,30.323921420339975,97.6689048545088,4019.0
2010,30.051585244697865,97.4526991274675,4019.0
2011,30.30899381322633,97.41742695008779,4020.0
2012,30.348129222314835,97.96099250232078,3977.0
2013,29.937557457852467,97.47083527806063,3961.0
2014,30.27845654191155,98.0995159662999,3909.0
2015,29.531958568509157,97.44051065589724,3716.0
2016,29.804453638124652,97.55315687520809,3884.0
2017,30.458809860771126,97.6437009128927,4035.0
2018,30.550464425248002,97.94507366745312,3959.0
2019,29.894644465713338,97.3545100964606,3875.0
2020,30.373957921444593,97.55192434427309,4093.0
2021,30.239190425958434,97.0266507449836,4156.0
2022,30.171239571377765,97.09402246138974,4090.0
2023,30.328216128594235,97.44860177546931,4077.0
2024,30.447932727651253,97.22221774954296,4065.0
2050_SSP245,30.486842518596717,96.24104169808001,4223.0
2050_SSP585,30.596007504878635,95.97247109299484,4256.0
